Commune,Latitude,Longitude
AIN BEN BEIDA,36.606134,7.678143
AIN LARBI,36.272934,7.385849
AIN MAKHLOUF,36.232892,7.249341
AIN REGADA,36.286701,7.070346
AIN SANDEL,36.256186,7.541737
BELKHEIR,36.400637,7.470186
BENDJERRAH,36.435605,7.365185
BENI MEZLINE,36.474108,7.624688
BORDJ SABAT,36.416205,7.013467
BOUATI MAHMOUD,36.59986,7.352936
BOUCHEGOUF,36.51253,7.788855
BOUHACHANA,36.305204,7.488739
BOUHAMDANE,36.479237,7.121896
DAHOUARA,36.302203,7.700203
DJEBALLAH KHEMISSI,36.499811,7.56149
EL FEDJOUDJ,36.525597,7.363946
GUELAAT BOU SBA,36.545114,7.498242
HAMMAM DEBAGH,36.479726,7.279916
HAMMAM N'BAILS,36.324959,7.739403
HELIOPOLIS,36.562698,7.409226
HOUARI BOUMEDIENNE,36.382358,7.275779
KHEZARAS,36.351245,7.489697
MEDJEZ AMAR,36.462139,7.316854
MEDJEZ SFA,36.452061,7.869496
NECHMAYA,36.621485,7.455068
OUED CHEHAM,36.326412,7.787007
OUED FRAGHA,36.570152,7.711743
OUED ZENATI,36.290107,7.178793
ROKNIA,36.569364,7.15006
SELLAOUA ANNOUNA,36.345169,7.29477
